分数,本分人数,累计人数
211,174,226800
210,155,226955
209,155,227110
208,126,227236
207,149,227385
206,129,227514
205,151,227665
204,144,227809
203,104,227913
202,104,228017
201,112,228129
200,113,228242
199,125,228367
198,96,228463
197,118,228581
196,111,228692
195,82,228774
194,93,228867
193,70,228937
192,86,229023
191,89,229112
190,77,229189
189,67,229256
188,91,229347
187,76,229423
186,65,229488
185,64,229552
184,80,229632
183,73,229705
182,56,229761
181,73,229834
180,52,229886
179,60,229946
178,39,229985
177,67,230052
176,53,230105
175,54,230159
174,57,230216
173,44,230260
172,40,230300
171,54,230354
170,50,230404
169,43,230447
168,47,230494
167,54,230548
166,40,230588
165,31,230619
164,48,230667
163,32,230699
162,48,230747
161,34,230781
160,49,230830
159,39,230869
158,49,230918
157,40,230958
156,32,230990
155,31,231021
154,31,231052
153,38,231090
152,41,231131
151,33,231164
150,43,231207
149,28,231235
148,30,231265
147,33,231298
146,30,231328
145,23,231351
144,32,231383
143,29,231412
142,16,231428
141,19,231447
140,29,231476
