年份,对象,TOPSIS难度指数,排名
2025,山西物理,0.2508958388372444,7
2025,山西历史,0.32297756783151205,5
2025,河北物理,0.2264070191565812,9
2025,河北历史,0.7514440502585151,1
2025,浙江综合,0.3606098402196383,4
2026,山西物理,0.24313606529720913,8
2026,山西历史,0.29592039752098004,6
2026,河北物理,0.22086430404226826,10
2026,河北历史,0.7500844748471454,2
2026,浙江综合,0.3616151032612307,3
