来源对象,代表分数,百分位(%),转换山西分,Delta
河北2025物理,693,0.014271060964188556,696.9794351781653,3.9794351781653177
河北2025物理,578,20.971770057530215,559.7711868194444,-18.228813180555562
河北2025物理,463,97.51014583240422,423.9288476726739,-39.071152327326104
河北2026物理,701,0.014320854533814063,690.4951376486841,-10.504862351315865
河北2026物理,571,24.212774202244162,562.4549633068738,-8.545036693126235
河北2026物理,446,98.48957104828655,405.2789286924798,-40.72107130752022
河北2025历史,672,0.00924955293827465,670.8411389282851,-1.1588610717149095
河北2025历史,572,21.465129185422704,553.7905618168346,-18.20943818316539
河北2025历史,477,100.0,443.0,-34.0
河北2026历史,671,0.04841858648965248,661.2901574905636,-9.709842509436385
河北2026历史,576,20.0,547.1503875968992,-28.849612403100764
河北2026历史,486,98.92073408824677,411.0401334956474,-74.95986650435259
浙江2025,693,0.1860369253465819,654.4234717491448,-38.576528250855176
浙江2025,593,32.766906037793156,533.5477595791455,-59.45224042085454
浙江2025,493,98.23183563664765,445.48195306114286,-47.51804693885714
浙江2026,692,0.029822582744111394,665.483122225596,-26.51687777440395
浙江2026,592,34.4998481759424,517.1860086919548,-74.81399130804516
浙江2026,497,98.16672450440291,412.7046000328731,-84.29539996712691
