年份,对象,X1报名人数,X2成绩竞争差异,X3前1%分数,X4本科上线率,X5特控上线率,X6本科资源供给
2025,山西物理,184809,45.97368664711135,655.0,0.6508611593591221,0.3006563533161264,0.42205736733600635
2025,山西历史,106652,51.06496484924051,633.0,0.3363931290552451,0.10940254284964182,0.33754641263173685
2025,河北物理,363040,46.75282878184194,648.0,0.6176454385191714,0.44690943146760687,0.5453944468929044
2025,河北历史,243714,103.87658356985176,620.0,0.26628343057846493,0.13931903788867278,0.33645994895656384
2025,浙江综合,402000,54.33629474794204,673.0,0.458636815920398,0.1532810945273632,0.6268656716417911
2026,山西物理,167419,45.97368664711135,655.0,0.7726960500301638,0.31945000268786694,0.4181126395450934
2026,山西历史,63113,51.06496484924051,633.0,0.5606927257458844,0.13486920285836515,0.33273652020978245
2026,河北物理,350991,46.75282878184194,648.0,0.6764162044041016,0.40812727391870446,0.5413244214239111
2026,河北历史,231476,103.87658356985176,620.0,0.27659454975893827,0.12121343033403031,0.3369679794017522
2026,浙江综合,405000,54.33629474794204,673.0,0.4563358024691358,0.152279012345679,0.6246913580246913
